Area,Date,Assets,,,,,,,,,,,,,
Europe,03/31/2021,7494111,,,,,,,,,,,,,
Europe,04/07/2021,7514267,,,,,,,,,,,,,
Europe,04/14/2021,7522199,,,,,,,,,,,,,
Europe,04/21/2021,7558280,,,,,,,,,,,,,
Europe,04/28/2021,7567945,,,,,,,,,,,,,
Europe,05/05/2021,7588768,,,,,,,,,,,,,
Europe,05/12/2021,7615694,,,,,,,,,,,,,
Europe,05/19/2021,7643170,,,,,,,,,,,,,
Europe,05/26/2021,7657629,,,,,,,,,,,,,
Europe,06/02/2021,7680137,,,,,,,,,,,,,
Europe,06/09/2021,7700937,,,,,,,,,,,,,
Europe,06/16/2021,7736536,,,,,,,,,,,,,
Europe,06/23/2021,7877127,,,,,,,,,,,,,
Europe,06/30/2021,7907807,,,,,,,,,,,,,
Europe,07/07/2021,7926550,,,,,,,,,,,,,
Europe,07/14/2021,7950657,,,,,,,,,,,,,
Europe,07/21/2021,7988045,,,,,,,,,,,,,
Europe,07/28/2021,7987364,,,,,,,,,,,,,
Europe,08/04/2021,8009676,,,,,,,,,,,,,
Europe,08/11/2021,8036014,,,,,,,,,,,,,
Europe,08/18/2021,8052776,,,,,,,,,,,,,
Europe,08/25/2021,8191312,,,,,,,,,,,,,
Europe,09/01/2021,8207534,,,,,,,,,,,,,
Europe,09/08/2021,8222733,,,,,,,,,,,,,
Europe,09/15/2021,8244572,,,,,,,,,,,,,
Europe,09/22/2021,8273207,,,,,,,,,,,,,
Europe,09/29/2021,8289148,,,,,,,,,,,,,
Europe,10/06/2021,8314285,,,,,,,,,,,,,
Europe,10/13/2021,8336713,,,,,,,,,,,,,
Europe,10/20/2021,8368278,,,,,,,,,,,,,
Europe,10/27/2021,8366071,,,,,,,,,,,,,
Europe,11/03/2021,8382672,,,,,,,,,,,,,
Europe,11/10/2021,8414393,,,,,,,,,,,,,
Europe,11/17/2021,8442311,,,,,,,,,,,,,
Europe,11/24/2021,8456991,,,,,,,,,,,,,
Europe,12/01/2021,8469908,,,,,,,,,,,,,
Europe,12/08/2021,8496633,,,,,,,,,,,,,
Europe,12/15/2021,8511461,,,,,,,,,,,,,
Europe,12/22/2021,8512308,,,,,,,,,,,,,
USA,01/03/2018,4443718,,,,,,,,,,,,,
USA,01/10/2018,4446062,,,,,,,,,,,,,
USA,01/17/2018,4439145,,,,,,,,,,,,,
USA,01/24/2018,4441317,,,,,,,,,,,,,
USA,01/31/2018,4419225,,,,,,,,,,,,,
USA,02/07/2018,4420745,,,,,,,,,,,,,
USA,02/14/2018,4434863,,,,,,,,,,,,,
USA,02/21/2018,4411660,,,,,,,,,,,,,
USA,02/28/2018,4393401,,,,,,,,,,,,,
USA,03/07/2018,4396097,,,,,,,,,,,,,
USA,03/14/2018,4407258,,,,,,,,,,,,,
USA,03/21/2018,4401222,,,,,,,,,,,,,
USA,03/28/2018,4392198,,,,,,,,,,,,,
USA,04/04/2018,4386104,,,,,,,,,,,,,
USA,04/11/2018,4383684,,,,,,,,,,,,,
USA,04/18/2018,4385903,,,,,,,,,,,,,
USA,04/25/2018,4372886,,,,,,,,,,,,,
USA,05/02/2018,4356129,,,,,,,,,,,,,
USA,05/09/2018,4358207,,,,,,,,,,,,,
USA,05/16/2018,4337609,,,,,,,,,,,,,
USA,05/23/2018,4337301,,,,,,,,,,,,,
USA,05/30/2018,4327519,,,,,,,,,,,,,
USA,06/06/2018,4319191,,,,,,,,,,,,,
USA,07/13/2018,4324906,,,,,,,,,,,,,
USA,07/20/2018,4315896,,,,,,,,,,,,,
USA,07/27/2018,4305491,,,,,,,,,,,,,
USA,07/04/2018,4289764,,,,,,,,,,,,,
USA,07/11/2018,4291201,,,,,,,,,,,,,
USA,07/18/2018,4291615,,,,,,,,,,,,,
USA,07/25/2018,4277681,,,,,,,,,,,,,
USA,08/01/2018,4255653,,,,,,,,,,,,,
USA,08/08/2018,4258030,,,,,,,,,,,,,
USA,08/15/2018,4228924,,,,,,,,,,,,,
USA,08/22/2018,4228818,,,,,,,,,,,,,
USA,08/29/2018,4218914,,,,,,,,,,,,,
USA,09/05/2018,4208496,,,,,,,,,,,,,
USA,09/12/2018,4210812,,,,,,,,,,,,,
USA,09/19/2018,4208059,,,,,,,,,,,,,
USA,09/26/2018,4192909,,,,,,,,,,,,,
USA,10/03/2018,4174704,,,,,,,,,,,,,
USA,10/10/2018,4176906,,,,,,,,,,,,,
USA,10/17/2018,4175446,,,,,,,,,,,,,
USA,10/24/2018,4173070,,,,,,,,,,,,,
USA,11/01/2018,4139731,,,,,,,,,,,,,
USA,11/07/2018,4141936,,,,,,,,,,,,,
USA,11/16/2018,4145892,,,,,,,,,,,,,
USA,11/23/2018,4106198,,,,,,,,,,,,,
USA,11/30/2018,4097170,,,,,,,,,,,,,
USA,12/05/2018,4086044,,,,,,,,,,,,,
USA,12/12/2018,4088314,,,,,,,,,,,,,
USA,12/29/2018,4084274,,,,,,,,,,,,,
USA,01/02/2019,4075636,,,,,,,,,,,,,
USA,01/09/2019,4058378,,,,,,,,,,,,,
USA,01/09/2019,4056563,,,,,,,,,,,,,
USA,01/16/2019,4050044,,,,,,,,,,,,,
USA,01/23/2019,4047052,,,,,,,,,,,,,
USA,01/30/2019,4039678,,,,,,,,,,,,,
USA,02/07/2019,4026350,,,,,,,,,,,,,
USA,02/16/2019,4028431,,,,,,,,,,,,,
USA,02/23/2019,3981420,,,,,,,,,,,,,
USA,02/30/2019,3974590,,,,,,,,,,,,,
USA,03/06/2019,3969134,,,,,,,,,,,,,
USA,03/13/2019,3971559,,,,,,,,,,,,,
