Area,Date,Assets,,,,,,,,
Europe,23/07/2021,7988045,,,,,,,,
Europe,30/07/2021,7987364,,,,,,,,
Europe,08/06/2021,8009676,,,,,,,,
Europe,13/08/2021,8036014,,,,,,,,
Europe,20/08/2021,8052776,,,,,,,,
Europe,27/08/2021,8191312,,,,,,,,
Europe,09/03/2021,8207534,,,,,,,,
Europe,09/10/2021,8222733,,,,,,,,
Europe,17/09/2021,8244572,,,,,,,,
Europe,24/09/2021,8273207,,,,,,,,
Europe,10/01/2021,8289148,,,,,,,,
Europe,10/08/2021,8314285,,,,,,,,
Europe,15/10/2021,8336713,,,,,,,,
Europe,22/10/2021,8368278,,,,,,,,
Europe,29/10/2021,8366071,,,,,,,,
Europe,11/05/2021,8382672,,,,,,,,
Europe,11/12/2021,8414393,,,,,,,,
Europe,19/11/2021,8442311,,,,,,,,
Europe,26/11/2021,8456991,,,,,,,,
Europe,12/03/2021,8469908,,,,,,,,
Europe,12/10/2021,8496633,,,,,,,,
Europe,17/12/2021,8511461,,,,,,,,
Europe,24/12/2021,8512308,,,,,,,,
USA,01/05/2018,4443718,,,,,,,,
USA,01/12/2018,4446062,,,,,,,,
USA,19/01/2018,4439145,,,,,,,,
USA,26/01/2018,4441317,,,,,,,,
USA,02/02/2018,4419225,,,,,,,,
USA,02/09/2018,4420745,,,,,,,,
USA,16/02/2018,4434863,,,,,,,,
USA,23/02/2018,4411660,,,,,,,,
USA,03/02/2018,4393401,,,,,,,,
USA,03/09/2018,4396097,,,,,,,,
USA,16/03/2018,4407258,,,,,,,,
USA,23/03/2018,4401222,,,,,,,,
USA,30/03/2018,4392198,,,,,,,,
USA,04/06/2018,4386104,,,,,,,,
USA,13/04/2018,4383684,,,,,,,,
USA,20/04/2018,4385903,,,,,,,,
USA,27/04/2018,4372886,,,,,,,,
USA,05/04/2018,4356129,,,,,,,,
USA,05/11/2018,4358207,,,,,,,,
USA,18/05/2018,4337609,,,,,,,,
USA,25/05/2018,4337301,,,,,,,,
USA,06/01/2018,4327519,,,,,,,,
USA,06/08/2018,4319191,,,,,,,,
USA,15/06/2018,4324906,,,,,,,,
USA,22/06/2018,4315896,,,,,,,,
USA,29/06/2018,4305491,,,,,,,,
USA,07/06/2018,4289764,,,,,,,,
USA,13/07/2018,4291201,,,,,,,,
USA,20/07/2018,4291615,,,,,,,,
USA,27/07/2018,4277681,,,,,,,,
USA,08/03/2018,4255653,,,,,,,,
USA,08/10/2018,4258030,,,,,,,,
